index,original_image,mask_image,data_split
0,303_IM-0900-0050_anon.png,303_IM-0900-0050_anon.png,Train
1,188_IM-0270-0037_anon.png,188_IM-0270-0037_anon.png,Train
2,334_IM-0845-0012_anon.png,334_IM-0845-0012_anon.png,Train
3,63_IM-0542-0008_anon.png,63_IM-0542-0008_anon.png,Train
4,104_IM-0112-0078_anon.png,104_IM-0112-0078_anon.png,Train
5,356_IM-0572-0038_anon.png,356_IM-0572-0038_anon.png,Train
6,550_IM-0267-0014_anon.png,550_IM-0267-0014_anon.png,Train
7,412_IM-0395-0067_anon.png,412_IM-0395-0067_anon.png,Train
8,134_IM-0111-0012_anon.png,134_IM-0111-0012_anon.png,Train
9,184_IM-0171-0001_anon.png,184_IM-0171-0001_anon.png,Train
10,80_IM-0610-0014_anon.png,80_IM-0610-0014_anon.png,Train
11,402_IM-0372-0052_anon.png,402_IM-0372-0052_anon.png,Train
12,581_IM-0774-0042_anon.png,581_IM-0774-0042_anon.png,Train
13,346_IM-0114-0038_anon.png,346_IM-0114-0038_anon.png,Train
14,74_IM-0525-0018_anon.png,74_IM-0525-0018_anon.png,Train
15,177_IM-0668-0040_anon.png,177_IM-0668-0040_anon.png,Train
16,374_IM-0644-0025_anon.png,374_IM-0644-0025_anon.png,Train
17,132_IM-0115-17408_anon.png,132_IM-0115-17408_anon.png,Train
18,222_IM-0127-0001_anon.png,222_IM-0127-0001_anon.png,Train
19,543_IM-0660-0037_anon.png,543_IM-0660-0037_anon.png,Train
20,429_IM-0918-0005_anon.png,429_IM-0918-0005_anon.png,Train
21,105_IM-0418-0051_anon.png,105_IM-0418-0051_anon.png,Train
22,408_IM-0428-0006_anon.png,408_IM-0428-0006_anon.png,Train
23,450_IM-0037-0018_anon.png,450_IM-0037-0018_anon.png,Train
24,360_IM-0156-1792_anon.png,360_IM-0156-1792_anon.png,Train
25,24_IM-0267-0005-0002_anon.png,24_IM-0267-0005-0002_anon.png,Train
26,281_IM-0001-0001-0002_anon.png,281_IM-0001-0001-0002_anon.png,Train
27,384_IM-0140-1792_anon.png,384_IM-0140-1792_anon.png,Train
28,131_IM-0052-0002_anon.png,131_IM-0052-0002_anon.png,Train
29,426_IM-0371-0037_anon.png,426_IM-0371-0037_anon.png,Train
30,159_IM-0215-0035_anon.png,159_IM-0215-0035_anon.png,Train
31,459_IM-0798-0007_anon.png,459_IM-0798-0007_anon.png,Train
32,78_IM-0085-0053_anon.png,78_IM-0085-0053_anon.png,Train
33,468_IM-0748-0011_anon.png,468_IM-0748-0011_anon.png,Train
34,526_IM-0313-0002_anon.png,526_IM-0313-0002_anon.png,Train
35,117_IM-0149-0055_anon.png,117_IM-0149-0055_anon.png,Train
36,248_IM-0682-0001_anon.png,248_IM-0682-0001_anon.png,Train
37,418_IM-0760-0020_anon.png,418_IM-0760-0020_anon.png,Train
38,192_IM-0628-0003-0002_anon.png,192_IM-0628-0003-0002_anon.png,Train
39,375_IM-0136-0048_anon.png,375_IM-0136-0048_anon.png,Train
40,382_IM-0226-0052_anon.png,382_IM-0226-0052_anon.png,Train
41,176_IM-0395-0010_anon.png,176_IM-0395-0010_anon.png,Train
42,592_IM-0147-0037_anon.png,592_IM-0147-0037_anon.png,Train
43,223_IM-0076-10240_anon.png,223_IM-0076-10240_anon.png,Train
44,294_IM-0048-15872_anon.png,294_IM-0048-15872_anon.png,Train
45,353_IM-0636-0020_anon.png,353_IM-0636-0020_anon.png,Train
46,23_IM-0175-0047_anon.png,23_IM-0175-0047_anon.png,Train
47,424_IM-0818-0052_anon.png,424_IM-0818-0052_anon.png,Train
48,47_IM-0070-0003_anon.png,47_IM-0070-0003_anon.png,Train
49,9_IM-0424-0037_anon.png,9_IM-0424-0037_anon.png,Train
50,137_IM-0008-9984_anon.png,137_IM-0008-9984_anon.png,Train
51,20_IM-0861-0005_anon.png,20_IM-0861-0005_anon.png,Train
